rank,title,search,summary,source,link
3,Where to Vote,2M+,"Voter Guide: How, When and Where to Vote on Tuesday",New York Times | 5d ago,https://www.nytimes.com/2018/11/05/us/politics/midterm-elections-voting-guide.html
4,Fox News,2M+,Fox News Has Highest-Rated Midterm Coverage In Cable News History,Forbes | 3d ago,https://www.forbes.com/sites/markjoyella/2018/11/07/fox-news-has-highest-rated-midterm-coverage-in-cable-news-history/
5,Dallas Cowboys,2M+,Cowboys owner Jerry Jones gives his support to Dak Prescott,ESPN | 4d ago,http://www.espn.com/nfl/story/_/id/25196192/dallas-cowboys-owner-jerry-jones-gives-support-quarterback-dak-prescott
6,Election Day 2018,1M+,Election Day in the US: The day after,CNN | 3d ago,https://www.cnn.com/politics/live-news/election-day-reaction-2018/index.html
7,Ted Cruz,1M+,Where Ted Cruz's close victory over Beto O'Rourke stands among Texas ...,Texas Tribune | 3d ago,https://www.texastribune.org/2018/11/07/ted-cruz-beto-orourke-texas-history-election-results/
8,Midterm elections 2018,500K+,Midterm elections 2018: When are the next US elections?,Express.co.uk | 3d ago,https://www.express.co.uk/news/world/1042436/Midterm-elections-2018-when-are-next-US-elections-2020-presidential-election
9,Gavin Newsom,500K+,Gavin Newsom Elected Governor of California,New York Times | 4d ago,https://www.nytimes.com/2018/11/07/us/california-midterms-election.html
10,Am I Registered to Vote,500K+,Where Is My Polling Place? Answers to Common Election Day Questions,New York Times | 4d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
11,Dez Bryant,500K+,Cowboys players and coaches react after Dez Bryant signs with the Saints,CBSSports.com | 3d ago,https://www.cbssports.com/nfl/news/cowboys-players-and-coaches-react-after-dez-bryant-signs-with-the-saints/
12,Fentanyl,200K+,"Fentanyl: Drug That Killed Mac Miller, Prince and Tom Petty Has Long History ...",PEOPLE.com | 5d ago,https://people.com/music/fentanyl-drug-that-killed-prince-has-long-history-of-abuse/
13,vote,200K+,"Broken machines, rejected ballots and long lines: voting problems emerge as ...",Washington Post | 4d ago,https://www.washingtonpost.com/politics/broken-machines-rejected-ballots-and-long-lines-voting-problems-emerge-as-americans-go-to-the-polls/2018/11/06/ffd11e52-dfa8-11e8-b3f0-62607289efee_story.html
14,Brian Kemp,200K+,"Brian Kemp, ahead in vote count in Georgia, says 'victory is near'",Washington Post | 3d ago,https://www.washingtonpost.com/politics/2018/live-updates/midterms/midterm-election-updates/brian-kemp-ahead-in-vote-count-in-georgia-says-victory-is-near/
15,Election Day,200K+,"Election Day 2018: Tracking Results For The House, Senate And Governor's Mansions",Forbes | 4d ago,https://www.forbes.com/sites/alexknapp/2018/11/06/election-day-2018-tracking-results-for-the-house-senate-and-governors-mansions/
16,Diwali,200K+,"Three nourishing recipes to celebrate Diwali, the Hindu festival of lights",Dallas News | 3d ago,https://www.dallasnews.com/life/cooking/2018/11/07/three-nourishing-recipes-celebrate-diwali-hindu-festival-lights
17,Champions League,200K+,5 Talking Points From Matchday 4 Of The UEFA Champions League,Forbes | 3d ago,https://www.forbes.com/sites/cybrown/2018/11/07/5-talking-points-from-matchday-4-of-the-uefa-champions-league/
18,Dianne Feinstein,200K+,California returns Dianne Feinstein to another Senate term,Santa Rosa Press Democrat | 3d ago,https://www.pressdemocrat.com/news/8924445-181/california-returns-dianne-feinstein-to
19,voting,200K+,Florida restores voting rights to more than 1 million felons,CNN | 3d ago,https://www.cnn.com/2018/11/07/politics/florida-felons-voting-rights/index.html
20,Dónde votar,200K+,"Why it matters that 'Donde votar,' Spanish for 'Where to vote,' was Google's ...",ABC News | 4d ago,https://abcnews.go.com/Politics/matters-donde-votar-spanish-vote-googles-top-search/story?id=59003457
1,Patriots,2M+,"Tom Brady 'fully intends' to be playing in 2022, when Patriots play Packers ...",CBSSports.com | 5d ago,https://www.cbssports.com/nfl/news/tom-brady-fully-intends-to-be-playing-in-2022-when-patriots-play-packers-aaron-rodgers-next/
2,Saints,1M+,Saints and Rams show off the best the NFL has to offer,Washington Post | 6d ago,https://www.washingtonpost.com/sports/saints-and-rams-show-off-the-best-the-nfl-has-to-offer/2018/11/04/f95d6b44-e060-11e8-b759-3d88a5ce9e19_story.html
3,Where Do I Vote,500K+,Where Do I Vote? Am I Registered? Answers to Common Election Day Questions,New York Times | 4d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
4,Midterm elections,500K+,"Election night viewers' guide: How the midterms will unfold, hour by hour",CNN | 4d ago,https://www.cnn.com/2018/11/06/politics/midterm-election-night-viewers-guide/index.html
5,The Walking Dead,500K+,Wait That Was Maggie's Last Episode Of 'The Walking Dead' Also?,Forbes | 5d ago,https://www.forbes.com/sites/erikkain/2018/11/05/forget-rick-grimes-this-is-the-walking-dead-departure-im-upset-about/
6,Pete Davidson,500K+,"Pete Davidson faces fallout over war-wound joke, but he need not apologize to ...",Pittsburgh Post-Gazette | 5d ago,http://www.post-gazette.com/ae/tv-radio/2018/11/05/Pete-Davidson-Dan-Crenshaw-Saturday-Night-Live-eye-patch-joke-fallout/stories/201811050131
7,Michigan football,500K+,"Michigan football visits Rutgers next — there's no way it loses, right?",Detroit Free Press | 6d ago,https://www.freep.com/story/sports/college/university-michigan/wolverines/2018/11/04/michigan-football-rutgers/1883260002/
